batteryHealth;binId;binStatus;currentFillLevel;latLong;timesTamp
95;CleanFLEX-FB2000002005AB71;Low;25;-33.922367,151.256956;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC15;Low;23;-33.920358,151.257167;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC16;Low;28;-33.919477,151.257681;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC14;Half Full;57;-33.920358,151.257167;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC18;Half Full;47;-33.919555,151.258164;2021-09-22 07:00:03
95;CleanFLEX-FB2000002005AB69;Half Full;38;-33.920227,151.257692;2021-09-22 07:00:03
95;CleanFLEX-FB2000002005AB65;Low;19;-33.920944,151.257001;2021-09-22 07:00:03
95;CleanFLEX-FB2000002005AB62;Low;3;-33.91947,151.257542;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC00;Half Full;43;-33.918951,151.25847;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC04;Low;21;-33.919505,151.257857;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC19;Half Full;53;-33.920289,151.257056;2021-09-22 07:00:03
95;CleanFLEX-FB2000002008AC20;Half Full;36;-33.920372,151.257036;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC10;Half Full;68;-33.920227,151.257692;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC06;Full;88;-33.91947,151.257542;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC09;Low;16;-33.919135,151.258104;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC13;Low;14;-33.920034,151.257165;2021-09-22 07:00:03
95;CleanFLEX-FB2000002005AB64;Low;21;-33.920816,151.257022;2021-09-22 07:00:03
95;CleanFLEX-FB2000002005AB66;Low;27;-33.920944,151.257001;2021-09-22 07:00:03
100;CleanFLEX-FB2000002008AC02;Half Full;39;-33.920227,151.257692;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC03;Half Full;63;-33.918951,151.25847;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC01;Low;25;-33.919135,151.258104;2021-09-22 08:00:03
95;CleanFLEX-FB2000002005AB63;Low;11;-33.919505,151.257857;2021-09-22 08:00:03
95;CleanFLEX-FB2000002005AB67;Low;14;-33.920816,151.257022;2021-09-22 08:00:03
95;CleanFLEX-FB2000002005AB68;Low;29;-33.919477,151.257681;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC05;Half Full;30;-33.919505,151.257857;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC12;Low;20;-33.919727,151.257213;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC17;Low;24;-33.91947,151.257542;2021-09-22 08:00:03
95;CleanFLEX-FB2000002005AB69;Half Full;38;-33.920227,151.257692;2021-09-22 08:00:03
95;CleanFLEX-FB2000002005AB70;Low;26;-33.919555,151.258164;2021-09-22 08:00:03
95;CleanFLEX-FB2000002005AB65;Low;19;-33.920944,151.257001;2021-09-22 08:00:03
95;CleanFLEX-FB2000002005AB71;Low;25;-33.922367,151.256956;2021-09-22 08:00:03
95;CleanFLEX-FB2000002005AB62;Low;3;-33.91947,151.257542;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC07;Half Full;41;-33.919555,151.258164;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC14;Half Full;56;-33.920358,151.257167;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC18;Half Full;49;-33.919555,151.258164;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC15;Low;26;-33.920358,151.257167;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC16;Low;29;-33.919477,151.257681;2021-09-22 08:00:03
95;CleanFLEX-FB2000002008AC08;Low;17;-33.919477,151.257681;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC00;Half Full;50;-33.918951,151.25847;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC10;Full;71;-33.920227,151.257692;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC06;Full;88;-33.91947,151.257542;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC04;Low;24;-33.919505,151.257857;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC09;Low;15;-33.919135,151.258104;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC13;Low;16;-33.920034,151.257165;2021-09-22 08:00:03
95;CleanFLEX-FB2000002008AC20;Half Full;36;-33.920372,151.257036;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC19;Half Full;54;-33.920289,151.257056;2021-09-22 08:00:03
95;CleanFLEX-FB2000002005AB64;Low;24;-33.920816,151.257022;2021-09-22 08:00:03
95;CleanFLEX-FB2000002005AB66;Low;27;-33.920944,151.257001;2021-09-22 08:00:03
100;CleanFLEX-FB2000002008AC02;Half Full;40;-33.920227,151.257692;2021-09-22 09:00:05
100;CleanFLEX-FB2000002008AC01;Half Full;30;-33.919135,151.258104;2021-09-22 09:00:05
100;CleanFLEX-FB2000002008AC03;Half Full;65;-33.918951,151.25847;2021-09-22 09:00:05
95;CleanFLEX-FB2000002005AB68;Low;29;-33.919477,151.257681;2021-09-22 09:00:05
95;CleanFLEX-FB2000002005AB67;Low;14;-33.920816,151.257022;2021-09-22 09:00:05
100;CleanFLEX-FB2000002008AC05;Half Full;30;-33.919505,151.257857;2021-09-22 09:00:05
100;CleanFLEX-FB2000002008AC12;Low;24;-33.919727,151.257213;2021-09-22 09:00:05
100;CleanFLEX-FB2000002008AC17;Low;24;-33.91947,151.257542;2021-09-22 09:00:05
